"Block","Tracked_x","Tracked_y","Mouse_x","Mouse_y"
0,964,551,961,542
0,950,558,961,542
0,939,557,961,542
0,936,554,961,542
0,946,544,961,542
0,947,553,961,542
0,957,587,961,542
0,963,571,961,542
0,945,557,961,542
0,924,531,961,542
0,926,541,961,542
0,932,538,961,542
0,937,519,961,542
0,933,537,961,542
0,949,536,961,542
0,959,536,961,542
0,962,560,961,542
0,958,551,961,542
0,977,529,961,542
0,965,544,961,542
0,980,536,961,542
0,976,529,961,542
0,979,517,961,542
0,953,493,961,542
0,951,505,961,542
0,954,498,961,542
0,956,481,961,542
0,978,442,961,542
0,974,446,961,542
0,987,429,961,542
0,983,427,961,542
0,945,430,961,542
0,948,449,961,542
0,926,414,961,542
0,921,422,961,542
0,913,412,961,542
0,901,375,961,542
0,908,375,961,542
0,897,371,961,542
0,914,367,961,542
0,911,363,961,542
0,902,360,961,542
0,927,351,961,542
0,953,359,961,542
0,966,365,961,542
0,954,382,961,542
0,945,389,961,542
0,946,397,961,542
0,922,402,954,530
0,931,401,919,494
0,952,390,883,468
0,974,427,843,435
0,939,429,836,411
0,939,421,867,377
0,933,409,926,331
0,917,411,1011,283
0,947,417,1101,236
0,931,419,1168,198
0,951,409,1196,181
0,940,415,1206,178
0,935,397,1207,177
0,923,409,1208,177
0,940,406,1209,181
0,934,432,1207,194
0,927,421,1205,212
0,932,411,1201,235
0,936,386,1191,259
0,910,388,1173,282
0,927,384,1150,303
0,918,385,1124,321
0,923,405,1103,333
0,932,417,1078,340
0,928,414,1047,345
0,939,397,1019,347
0,919,410,995,348
0,901,420,983,348
0,895,374,975,348
0,865,373,965,346
0,863,369,954,346
0,869,370,950,346
0,860,360,950,346
0,863,353,950,346
0,854,337,950,346
0,861,331,944,355
0,855,306,931,371
0,844,319,923,392
0,838,327,918,411
0,822,326,917,419
0,809,306,916,423
0,828,292,913,425
0,834,306,909,426
0,841,308,902,426
0,833,295,884,419
0,828,279,854,401
0,829,275,829,385
0,826,256,811,367
0,837,267,800,351
0,830,261,796,334
0,849,249,796,326
0,857,253,797,317
0,852,240,792,307
0,913,215,774,302
0,896,183,744,301
0,891,149,695,308
0,869,128,678,316
0,867,138,683,323
0,845,105,727,330
0,827,198,817,331
0,817,218,957,323
0,805,223,1004,316
0,789,203,1012,314
0,769,200,1017,312
0,757,199,1018,311
0,765,213,1019,309
0,786,239,1020,306
0,772,236,1021,303
0,763,238,1015,296
0,755,266,998,284
0,763,279,982,273
0,759,287,967,257
0,756,273,952,245
0,779,265,933,237
0,778,248,912,234
0,787,246,890,234
0,768,224,861,242
0,774,229,840,253
0,776,221,816,264
0,753,227,796,268
0,762,238,785,268
0,759,248,776,265
0,751,261,771,262
0,751,260,768,262
0,736,243,768,262
0,747,257,770,262
0,729,254,783,264
0,723,240,795,265
0,726,256,804,264
0,730,271,813,255
0,719,259,816,247
0,704,261,816,240
0,709,252,816,238
0,712,259,816,235
0,722,262,815,232
0,721,237,804,231
0,744,224,784,232
0,749,263,762,236
0,747,249,743,241
0,731,244,725,246
0,721,260,706,249
0,707,276,679,253
0,740,275,674,254
0,720,279,673,254
0,722,292,673,254
0,714,293,671,251
0,716,282,671,251
0,719,275,668,251
0,702,251,668,251
0,692,250,670,251
0,681,266,676,249
0,671,280,684,247
0,650,258,693,245
0,656,270,711,241
0,648,263,732,237
0,635,253,746,236
0,642,260,750,236
0,650,253,751,237
0,656,242,752,241
0,677,226,754,245
0,681,225,755,246
0,685,204,755,247
0,690,203,746,247
0,716,212,731,247
0,716,210,714,248
0,720,199,692,251
0,724,199,658,256
0,724,216,611,262
0,710,206,564,263
0,741,200,539,263
0,747,205,531,263
0,744,212,530,261
0,758,211,531,259
0,752,203,541,255
0,762,188,559,250
0,756,209,592,241
0,778,209,632,231
0,770,199,655,227
0,753,185,667,225
0,750,185,670,225
0,736,187,673,225
0,731,178,673,225
0,727,191,673,225
0,736,193,674,224
0,724,202,677,223
0,721,196,687,221
0,693,190,708,220
0,674,209,753,220
0,643,212,800,225
0,649,220,814,228
0,656,201,814,228
0,673,197,792,227
0,688,202,764,224
0,683,208,745,221
0,710,208,736,219
0,714,212,734,218
0,706,213,728,217
0,733,207,720,216
0,742,191,717,215
0,725,212,709,215
0,692,225,697,213
0,684,234,681,212
0,675,235,675,212
0,680,238,675,212
0,685,257,676,212
0,678,264,677,212
0,665,256,681,212
0,678,250,693,210
0,663,255,711,209
0,643,250,727,209
0,610,261,746,210
0,594,263,763,211
0,614,264,771,212
0,609,272,770,213
0,607,247,755,217
0,605,248,735,223
0,593,250,713,232
0,610,273,693,243
0,617,273,677,255
0,616,277,665,267
0,607,278,653,279
0,593,284,643,286
0,591,276,631,291
0,582,271,617,293
0,578,244,602,293
0,593,227,583,293
0,601,225,564,293
0,590,235,556,293
0,605,246,555,293
0,618,264,553,293
0,605,275,546,293
0,612,272,539,293
0,618,248,536,293
0,607,235,531,297
0,594,237,514,311
0,605,248,478,332
0,612,255,436,355
0,622,240,417,362
0,632,234,415,363
0,624,233,417,362
0,632,252,426,354
0,638,275,437,345
0,633,292,456,328
0,640,295,464,317
0,625,301,469,310
0,627,311,477,304
0,656,293,504,300
0,660,284,549,293
0,661,288,575,288
0,662,285,578,288
0,667,276,578,288
0,698,270,578,288
0,698,274,582,293
0,709,286,595,297
0,715,254,603,300
0,716,238,604,301
0,714,214,605,302
0,710,252,605,304
0,703,251,605,304
0,683,280,605,304
0,691,275,605,304
0,693,284,605,308
0,684,267,622,318
0,671,263,679,339
0,656,255,775,358
0,641,286,880,368
0,643,276,948,368
0,635,268,968,366
0,604,277,964,358
0,598,251,942,348
0,621,262,925,338
0,616,286,910,327
0,639,282,904,320
0,634,305,902,317
0,646,301,902,316
0,614,298,902,315
0,628,294,902,314
0,652,279,900,313
0,645,275,882,312
0,655,271,853,312
0,662,287,796,312
0,657,278,729,314
0,650,278,694,316
0,652,264,681,316
0,663,277,681,316
0,661,314,681,315
0,664,304,681,315
0,674,302,681,315
0,680,316,682,317
0,683,310,692,321
0,687,314,703,325
0,688,304,706,327
0,670,305,707,327
0,672,314,702,327
0,665,299,698,325
0,670,333,700,322
0,680,320,715,317
0,673,291,725,313
0,651,274,730,309
0,642,284,730,307
0,629,294,723,301
0,619,295,713,300
0,606,297,710,300
0,594,279,709,301
0,582,315,709,303
0,601,338,710,306
0,609,337,710,308
0,609,349,708,312
0,592,345,704,318
0,588,342,701,335
0,596,336,700,340
0,571,345,696,348
0,588,359,690,352
0,589,369,689,353
0,592,375,686,353
0,574,362,682,351
0,579,360,671,350
0,568,350,660,350
0,564,339,655,352
0,571,350,653,355
0,581,339,653,357
0,570,334,653,358
0,556,330,652,359
0,548,309,646,360
0,546,303,638,362
0,540,306,620,364
0,568,323,606,365
0,555,304,594,369
0,537,329,583,375
0,545,345,576,381
0,571,348,570,386
0,602,340,566,390
0,595,347,565,390
0,566,343,564,390
0,566,345,559,388
0,568,367,553,384
0,576,358,549,382
0,580,363,547,381
0,601,374,546,378
0,604,378,545,369
0,618,381,539,359
0,636,385,531,350
0,643,373,528,349
0,656,363,528,349
0,657,360,534,349
0,656,374,539,351
0,662,385,539,351
0,647,386,539,352
0,640,378,538,356
0,642,370,538,364
0,660,399,541,371
0,627,371,543,374
0,622,356,545,376
0,625,329,548,377
0,611,348,565,379
0,611,337,602,381
0,609,331,654,381
0,631,315,693,381
0,632,315,706,379
0,617,314,706,379
0,632,294,694,377
0,620,301,679,377
0,609,309,670,380
0,630,325,667,382
0,631,312,664,385
0,660,302,659,388
0,662,277,649,391
0,675,259,635,394
0,681,250,617,396
0,687,241,609,396
0,685,226,605,395
0,653,231,603,393
0,645,223,601,391
0,657,217,597,389
0,681,208,594,388
0,686,209,593,387
0,688,213,593,385
0,672,208,593,384
0,686,218,595,382
0,676,217,614,383
0,668,207,650,385
0,665,221,726,370
0,666,229,745,349
0,667,238,746,327
0,660,238,737,306
0,661,221,732,292
0,660,215,731,286
0,660,222,735,278
0,666,239,738,269
0,680,238,740,263
0,710,266,741,261
0,714,289,745,259
0,693,259,753,255
0,696,242,759,245
0,691,207,759,227
0,688,225,747,211
0,707,231,732,202
0,720,223,725,201
0,750,234,716,206
0,755,205,702,219
0,752,209,685,233
0,779,196,674,243
0,777,210,672,248
0,782,190,671,248
0,783,203,671,248
0,785,215,671,248
0,792,232,671,248
0,829,239,671,248
0,823,236,671,248
0,814,221,671,250
0,809,215,673,250
0,793,231,674,251
0,776,272,682,262
0,781,273,703,279
0,773,300,737,298
0,771,281,773,309
0,776,286,814,312
0,764,298,829,311
0,780,313,853,304
0,788,307,857,303
0,807,300,859,301
0,806,313,861,301
0,815,323,862,300
0,803,337,863,300
0,785,343,863,300
0,797,335,863,300
0,780,310,863,301
0,775,290,863,301
0,794,297,862,301
0,777,277,858,302
0,769,281,851,304
0,778,293,837,308
0,796,273,826,321
0,786,255,831,324
0,791,265,841,328
0,810,252,850,331
0,815,259,855,333
0,825,274,855,333
0,852,269,858,335
0,860,289,861,340
0,845,307,862,342
0,835,301,862,343
0,878,313,859,343
0,877,342,853,343
0,848,333,842,343
0,825,318,838,341
0,834,319,835,339
0,844,316,834,335
0,849,306,832,330
0,834,280,827,322
0,829,270,825,314
0,837,260,830,312
0,869,268,836,312
0,859,256,840,313
0,850,232,849,322
0,842,228,860,332
0,829,217,865,340
0,841,186,865,345
0,852,185,861,351
0,841,189,856,358
0,826,204,850,365
0,817,225,847,368
0,811,208,846,369
0,811,203,846,369
0,791,197,847,365
0,822,188,847,361
0,828,184,851,354
0,798,167,862,350
0,793,147,876,345
0,802,165,889,338
0,794,166,893,334
0,790,165,893,332
0,767,159,893,330
0,794,183,893,330
0,783,178,891,329
0,762,189,883,325
0,753,181,865,315
0,747,159,820,297
0,749,164,774,284
0,755,126,759,274
0,749,142,757,267
0,750,152,762,255
0,731,161,769,244
0,741,165,772,237
0,741,177,772,233
0,749,175,770,231
0,765,177,764,229
0,748,195,755,228
0,773,190,746,228
0,772,180,733,237
0,752,185,717,247
0,787,182,696,256
0,795,182,679,258
0,807,199,678,257
0,814,210,678,253
0,809,214,679,251
0,793,235,691,250
0,795,241,732,250
0,799,232,756,249
0,765,205,764,245
0,778,222,764,243
0,764,203,758,237
0,757,208,753,234
0,757,217,746,230
0,754,207,743,229
0,740,221,743,228
0,755,224,743,227
0,753,253,743,227
0,746,229,743,227
0,742,252,755,225
0,749,230,779,224
0,743,239,814,225
0,752,241,831,230
0,775,240,835,231
0,774,244,836,231
0,747,229,835,231
0,743,217,832,231
0,737,217,828,231
0,742,235,821,231
0,750,254,812,237
0,750,252,809,245
0,775,248,806,256
0,773,260,801,265
0,765,244,791,274
0,771,256,780,281
0,774,272,775,286
0,766,259,774,295
0,783,256,775,297
0,787,238,782,299
0,790,256,786,299
0,775,240,786,299
0,775,274,786,297
0,760,271,786,296
0,764,268,786,296
0,765,281,786,296
0,764,252,786,296
0,779,261,786,297
0,794,270,786,297
0,817,285,786,298
0,835,266,789,301
0,842,253,795,305
0,853,231,809,311
0,870,245,813,311
0,892,241,814,311
0,888,264,814,311
0,886,256,814,311
0,901,258,814,312
0,880,252,814,313
0,863,251,815,315
0,843,215,815,316
0,842,214,819,319
0,839,215,828,322
0,809,220,843,325
0,783,244,855,328
0,793,235,870,333
0,752,264,889,335
0,747,243,908,336
0,732,262,925,336
0,738,270,929,336
0,743,280,933,336
0,748,283,934,336
0,758,295,936,335
0,755,287,937,335
0,749,300,938,335
0,748,288,938,333
0,779,268,938,331
0,768,293,938,329
0,761,305,935,324
0,764,299,923,317
0,756,297,901,309
0,718,288,877,307
0,717,290,857,308
0,709,295,844,312
0,717,303,836,317
0,722,318,833,320
0,731,314,831,321
0,730,282,828,323
0,731,289,825,325
0,727,273,823,326
0,739,267,823,326
0,728,289,823,326
0,727,287,818,323
0,741,285,803,319
0,752,288,786,317
0,766,289,773,317
0,762,310,766,317
0,763,316,762,317
0,767,304,751,319
0,764,327,734,322
0,769,340,726,323
0,772,355,724,324
0,745,371,723,324
0,722,382,723,325
0,671,386,723,325
0,661,365,723,325
0,650,362,722,325
0,649,380,721,324
0,651,396,720,323
0,655,401,720,323
0,653,407,727,319
0,659,386,730,319
0,667,383,735,316
0,663,396,735,315
0,694,407,735,315
0,700,422,730,318
0,690,412,723,326
0,694,422,721,331
0,701,433,721,336
0,679,442,719,340
0,689,427,708,346
0,693,439,685,352
0,683,439,664,361
0,679,447,653,375
0,661,439,653,383
0,659,476,653,386
0,668,457,654,389
0,662,474,655,393
0,641,472,656,397
0,658,468,667,413
0,645,473,690,428
0,645,485,702,434
0,645,472,726,444
0,636,488,740,451
0,611,475,744,455
0,595,452,744,457
0,605,470,744,461
0,586,469,744,464
0,599,453,744,465
0,610,468,744,468
0,596,483,740,472
0,580,463,735,475
0,587,471,727,484
0,574,500,722,488
0,580,490,718,493
0,590,486,710,502
0,594,479,695,511
0,627,476,680,519
0,610,458,669,523
0,575,471,654,526
0,552,466,641,527
0,540,454,630,527
0,555,448,624,521
0,535,442,620,515
0,570,433,616,511
0,574,438,605,507
0,569,445,598,507
0,563,453,595,507
0,579,461,592,508
0,577,471,589,511
0,608,470,586,516
0,591,462,584,518
0,598,459,584,518
0,607,449,580,520
0,614,430,574,520
0,621,430,568,520
0,616,424,563,519
0,610,429,555,514
0,612,430,548,508
0,597,479,538,500
0,582,459,529,493
0,581,459,516,489
0,580,452,501,487
0,591,445,494,487
0,581,448,493,487
0,569,449,501,487
0,557,445,524,487
0,551,430,549,487
0,540,438,570,487
0,576,426,583,486
0,585,420,595,479
0,576,429,612,469
0,568,422,624,462
0,570,456,627,459
0,580,456,627,458
0,560,473,627,457
0,569,487,621,457
0,577,491,613,457
0,568,484,607,457
0,562,484,597,454
0,561,498,579,450
0,562,484,561,445
