Time,Block,Trial,Scene_from_keyfile,Shapes,Positions,Tracked_x,Tracked_y,Mouse_x,Mouse_y
4764,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],950,568,956,543
4780,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],928,565,956,543
4796,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],934,578,956,543
4813,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],932,577,956,543
4830,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],913,578,956,543
4847,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],919,577,956,543
4863,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],923,561,956,543
4879,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],906,530,956,543
4895,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],886,527,956,543
4911,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],865,536,956,543
4928,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],857,515,956,543
4944,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],862,513,956,543
4961,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],889,495,956,543
4977,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],871,516,956,543
4994,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],885,519,956,543
5010,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],892,493,956,543
5027,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],890,519,956,543
5044,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],897,496,956,543
5061,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],895,466,956,543
5077,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],900,482,956,543
5094,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],879,471,956,543
5111,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],883,445,956,543
5127,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],904,447,956,543
5144,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],911,423,956,543
5160,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],920,430,956,543
5177,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],920,398,956,543
5194,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],933,380,956,543
5211,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],937,391,956,543
5228,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],935,383,956,543
5245,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],932,377,956,543
5261,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],909,406,956,543
5278,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],909,426,956,543
5295,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],927,420,956,543
5311,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],924,412,956,543
5327,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],930,420,956,543
5343,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],927,416,956,543
5360,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],933,410,956,543
5377,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],940,401,956,543
5394,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],914,412,956,543
5411,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],923,427,956,543
5427,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],906,422,956,543
5444,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],933,417,956,543
5461,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],938,424,956,543
5478,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],908,427,956,543
5495,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],905,426,956,543
5512,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],905,410,956,543
5528,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],894,427,956,543
5544,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],904,430,956,543
5560,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],916,443,956,543
5576,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],901,476,956,543
5593,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],907,479,956,543
5609,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],905,494,956,543
5625,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],896,485,956,543
5642,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],886,489,956,543
5658,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],878,473,956,543
5675,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],879,473,956,543
5691,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],884,479,956,543
5707,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],878,469,956,543
5723,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],862,470,956,543
5739,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],866,497,956,543
5755,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],871,498,956,543
5771,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],871,494,956,543
5787,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],884,474,956,543
5804,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],885,450,956,543
5820,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],888,448,956,543
5837,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],883,467,956,543
5853,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],881,474,956,543
5869,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],868,478,956,543
5886,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],882,473,956,543
5902,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],892,459,956,543
5918,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],878,491,956,543
5934,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],864,465,956,543
5950,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],846,444,956,543
5967,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],851,446,956,543
5983,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],850,453,956,543
5999,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],854,439,956,543
6015,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],858,419,956,543
6031,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],844,438,956,543
6047,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],852,447,956,543
6063,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],865,457,956,543
6079,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],865,460,956,543
6095,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],864,449,956,543
6112,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],868,473,956,543
6128,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],862,470,956,543
6145,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],837,457,956,543
6162,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],841,440,956,543
6178,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],834,475,956,543
6195,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],825,463,956,543
6212,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],843,473,956,543
6228,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],841,482,956,543
6244,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],836,488,956,543
6260,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],825,483,956,543
6277,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],811,492,956,543
6293,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],782,495,956,543
6310,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],779,515,956,543
6326,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],780,509,956,543
6343,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],788,502,956,543
6360,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],794,495,956,543
6376,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],783,475,956,543
6392,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],801,470,956,543
6409,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],798,478,956,543
6426,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],789,485,956,543
6443,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],780,463,956,543
6460,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],775,478,956,543
6476,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],759,508,956,543
6493,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],759,488,956,543
6510,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],765,502,956,543
6526,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],733,491,956,543
6543,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],734,488,956,543
6560,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],730,479,956,543
6576,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],749,478,956,543
6593,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],758,484,956,543
6610,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],761,439,956,543
6626,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],740,440,956,543
6642,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],768,435,956,543
6659,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],769,460,956,543
6676,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],765,451,956,543
6692,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],751,452,956,543
6708,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],740,436,956,543
6724,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],743,434,956,543
6740,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],772,446,956,543
6756,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],793,461,956,543
6772,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],791,468,956,543
6788,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],776,480,956,543
6804,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],790,476,956,543
6820,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],777,434,956,543
6836,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],779,446,956,543
6852,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],769,431,956,543
6869,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],759,435,956,543
6885,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],762,415,956,543
6901,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],764,401,956,543
6917,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],744,391,956,543
6933,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],735,384,956,543
6950,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],701,392,956,543
6966,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],709,390,956,543
6983,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],688,398,956,543
6999,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],687,403,956,543
7015,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],685,411,956,543
7032,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],697,435,956,543
7049,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],688,416,956,543
7066,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],688,404,956,543
7083,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],682,408,956,543
7099,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],674,402,956,543
7116,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],695,385,956,543
7132,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],689,385,956,543
7148,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],653,389,956,543
7164,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],630,412,956,543
7180,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],649,411,956,543
7196,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],643,395,956,543
7212,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],642,398,956,543
7228,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],638,402,956,543
7244,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],621,419,956,543
7261,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],630,423,956,543
7278,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],616,429,956,543
7295,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],615,430,956,543
7312,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],611,448,956,543
7328,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],624,430,956,543
7360,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],615,429,956,543
7376,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],587,433,956,543
7392,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],574,445,956,543
7409,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],583,448,956,543
7426,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],592,448,956,543
7443,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],589,470,956,543
7460,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],610,460,956,543
7477,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],623,450,956,543
7493,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],639,443,956,543
7510,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],642,418,956,543
7527,0,1,132,[2, 1, 6, 5, 11, 10],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],639,422,956,543
