Time,Block,Trial,Scene_from_keyfile,Shapes,Positions,Tracked_x,Tracked_y,Mouse_x,Mouse_y
100213,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],962,549,962,540
100229,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],962,544,962,540
100245,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],968,547,962,540
100261,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],981,532,962,540
100277,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],975,551,962,540
100293,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],976,547,962,540
100309,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],950,547,962,540
100325,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],938,544,962,540
100341,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],956,551,962,540
100357,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],953,564,962,540
100373,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],937,581,962,540
100389,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],952,590,962,540
100405,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],936,604,962,540
100422,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],926,616,962,540
100438,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],939,607,962,540
100454,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],936,638,962,540
100470,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],923,627,962,540
100486,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],926,635,962,540
100502,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],939,639,962,540
100518,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],931,621,962,540
100535,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],917,624,962,540
100551,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],915,633,962,540
100568,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],924,640,962,540
100584,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],946,628,962,540
100600,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],950,630,962,540
100616,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],954,646,962,540
100632,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],962,659,962,540
100648,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],954,660,962,540
100664,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],948,649,962,540
100681,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],925,678,962,540
100697,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],935,680,962,540
100713,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],930,673,962,540
100730,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],941,662,962,540
100746,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],969,652,962,540
100763,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],950,638,962,540
100780,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],958,662,962,540
100796,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],950,663,962,540
100813,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],969,648,962,540
100830,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],943,626,962,540
100846,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],958,620,962,540
100862,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],964,613,962,540
100879,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],953,604,961,549
100896,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],928,620,958,571
100912,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],928,628,957,604
100929,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],928,610,956,629
100945,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],922,615,956,644
100961,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],927,650,959,658
100977,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],909,639,963,670
100993,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],888,647,968,681
101010,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],871,643,972,692
101026,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],849,648,974,698
101043,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],856,639,975,702
101059,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],880,617,975,705
101075,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],886,608,975,707
101091,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],878,603,975,709
101107,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],884,602,975,709
101123,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],880,589,975,709
101139,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],896,576,975,709
101155,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],893,567,975,709
101171,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],901,568,975,703
101187,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],893,561,975,695
101204,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],882,538,975,689
101220,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],883,544,975,686
101236,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],871,527,975,684
101253,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],885,528,975,683
101269,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],876,521,975,681
101285,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],855,544,974,678
101302,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],844,546,971,675
101319,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],857,554,968,674
101335,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],851,549,960,671
101351,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],860,537,952,666
101367,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],877,517,942,659
101383,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],854,519,937,652
101399,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],882,516,933,643
101415,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],882,501,933,633
101431,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],866,501,933,622
101448,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],866,498,938,609
101464,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],863,487,942,590
101481,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],873,501,943,571
101497,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],864,510,943,555
101513,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],857,525,941,544
101530,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],881,510,935,535
101547,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],891,492,929,531
101563,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],887,474,916,530
101580,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],900,458,898,530
101597,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],890,443,877,533
101614,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],878,431,863,536
101631,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],868,439,852,538
101647,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],865,440,848,539
101663,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],860,457,847,539
101679,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],851,466,846,539
101695,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],879,461,845,539
101711,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],887,451,843,537
101727,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],878,436,842,536
101743,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],884,479,842,536
101759,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],887,500,842,536
101775,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],888,500,842,536
101791,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],878,502,844,539
101807,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],885,536,847,543
101823,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],880,537,851,546
101839,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],876,545,856,549
101855,0,1,129,[3, 6, 10, 7, 11, 2],[[2, 3], [3, 3], [1, 2], [1, 3], [1, 1], [2, 2]],887,540,865,550
